run_index,T_res,phi,f,rss
65,1982523189.5209785,0.0111760347891637,0.1462647860207104,0.0001246007191492189
66,1425667597.4924476,0.0450433229195779,0.5188644422484648,0.00012161690481677024
67,2137593392.1053815,0.1256806085728192,0.43107128141459,0.00013944995075903518
68,3032374792.5384173,0.2883586162878812,0.6104639562774439,0.000116002068849054
69,2038599531.8348927,0.1720845689969809,0.2093601441739825,0.00012331355888156947
70,510402362.2681588,0.1858937128745113,0.509370649690799,0.00011832609844013814
71,2351627361.143343,0.1865185061971872,0.4087916682231011,0.00010809479106550847
72,1363852296.8911831,0.2682449554711489,0.8554820425263924,0.0001401876476643046
73,1601470033.779792,0.0792159048910017,0.8007253893836384,0.00012243566531191166
74,295841698.40573865,0.2491276469714553,0.8118666247081743,0.00011886158127472921
75,876914750.4948368,0.1614675402248513,0.7153046479022158,0.00012207544172341834
76,2489561938.7720566,0.1024216849911482,0.7260382159079143,0.00012503941964350012
77,204664967.5922524,0.1584100965269277,0.1175204519436162,0.00012584426591044867
78,2526638136.828372,0.0942413796727159,0.335780460702104,0.00012495468323384516
79,3014797111.1964064,0.228095012812696,0.6228265545620204,0.00011036587542271968
80,2243316791.3428555,0.1831085476168313,0.946641209948442,0.00015423898787715362
81,2781344442.179402,0.1990942729968659,0.9288721257972066,0.00011528341968699836
82,767663457.6467853,0.2309187924725909,0.1217286241291679,0.00013547753913786256
83,2489273570.559861,0.1842621559143695,0.8036932192528277,0.000126148777652876
84,2992805408.714061,0.0636866590086636,0.6683165028947028,0.00014676084216197504
85,1794316150.2373211,0.0819699822652759,0.355896976588522,0.00010889555951229262
86,1857418887.4142523,0.0493112632588192,0.7991230416506404,0.00014514958602558257
87,2594468301.998836,0.2049935813467024,0.0524819131822977,0.00012812647995337208
88,3014627034.902898,0.1343818643816614,0.2334014567682359,0.00012414047786742026
89,2905038480.714781,0.2972314636305574,0.9409457301761888,0.00010238454535649319
90,651026795.8157398,0.0936164797466347,0.5397162967515299,0.0001425298423761874
91,1100970948.5338604,0.0813211560783831,0.776809249419234,0.0001170642615751207
92,1202589056.6621935,0.1015073899149805,0.8370329224601377,0.0001141495313056846
