T_res,phi,f,rss,run_index
267536455.05598623,0.07753989537162367,0.0991104498240627,7.572378356696293e-05,4570
1141716440.3613012,0.08295136166665489,0.7359899614433818,7.581838692976863e-05,68128
2179641360.0468507,0.2541934116948412,0.4906788318339378,7.582254267870518e-05,65284
1686057749.4634573,0.2777123614402738,0.8876393595382254,7.585089497978696e-05,60271
1946996676.803351,0.08703825789372847,0.6877590221609126,7.594363052093374e-05,24187
1368626290.5799859,0.1156461595418682,0.7322618748328069,7.597030845839803e-05,89337
1238773106.3932576,0.27191687674974546,0.9128647556797119,7.600678963577723e-05,40969
632661206.7763962,0.22404491743994784,0.7333838446482753,7.602233840772148e-05,70275
2891451640.3180385,0.28197088889452665,0.5400581970290885,7.611459746981544e-05,39848
1591167030.5026963,0.07814440872342208,0.5085587944356202,7.617641854884873e-05,81624
2369673133.930514,0.16747351675144068,0.23564764035562902,7.62650895126443e-05,85442
1647244170.7333605,0.02627986130486437,0.709545242457685,7.62793203294312e-05,11710
2723130776.6717353,0.24692221696050773,0.3901294271666198,7.637380001767417e-05,97353
784505151.4732718,0.05615873770110672,0.5819967309042766,7.638287943227596e-05,38490
2153043110.940927,0.2335565904968581,0.22742441905943023,7.640652911471289e-05,89267
2485451707.505328,0.08424450468612193,0.7881023552679287,7.645842905828276e-05,25942
2670746982.402782,0.08754222683415391,0.12200777576310673,7.649386970101764e-05,38418
1111354289.7158208,0.03896428035325387,0.7877306399667598,7.661224363754578e-05,50612
2226332119.2103415,0.118165944856263,0.8259208077542354,7.663207919401416e-05,62005
859391680.1202176,0.01296556988602355,0.2994537796909066,7.663964411650045e-05,35996
1492943910.580805,0.14358982030520034,0.44140783509914217,7.669490023186706e-05,93492
2135973569.4489567,0.06089639974655639,0.37810195520097956,7.67626529015531e-05,86029
922237702.3606359,0.08663928330925529,0.6845843257770644,7.706381779915327e-05,5268
1307278517.1573288,0.06800562919503288,0.19754792170030944,7.707560955757715e-05,67732
1982523189.5209785,0.011176034789163762,0.14626478602071047,7.713098837096118e-05,98114
1425667597.4924476,0.045043322919577994,0.5188644422484648,7.725345521185008e-05,93405
2137593392.1053817,0.12568060857281924,0.43107128141459006,7.732678917451203e-05,86855
3032374792.5384173,0.28835861628788123,0.6104639562774439,7.745859559363844e-05,63634
2038599531.8348927,0.1720845689969809,0.20936014417398252,7.750838004666599e-05,9182
510402362.2681588,0.18589371287451137,0.509370649690799,7.756762714938978e-05,3200
2351627361.1433434,0.18651850619718724,0.4087916682231011,7.765540723403767e-05,28491
1363852296.8911831,0.2682449554711489,0.8554820425263924,7.769049886230361e-05,38787
1601470033.779792,0.07921590489100178,0.8007253893836384,7.780713819441763e-05,66207
295841698.40573865,0.2491276469714553,0.8118666247081743,7.786424702350705e-05,99722
876914750.4948368,0.16146754022485138,0.7153046479022158,7.789713690704639e-05,22091
2489561938.7720566,0.10242168499114829,0.7260382159079143,7.79403081332215e-05,65035
204664967.5922524,0.15841009652692775,0.11752045194361627,7.79564563689555e-05,73272
2526638136.828372,0.09424137967271592,0.335780460702104,7.809123609418317e-05,64967
3014797111.1964064,0.22809501281269606,0.6228265545620204,7.813652295209708e-05,80266
2243316791.3428555,0.1831085476168313,0.9466412099484421,7.816288437091152e-05,75431
2781344442.179402,0.19909427299686594,0.9288721257972066,7.820258851804222e-05,2195
767663457.6467853,0.23091879247259095,0.12172862412916796,7.826235768420165e-05,27126
2489273570.559861,0.18426215591436956,0.8036932192528277,7.836215141667181e-05,52170
2992805408.714061,0.06368665900866362,0.6683165028947028,7.837538911179592e-05,88783
1794316150.2373211,0.08196998226527598,0.35589697658852204,7.838152586512746e-05,96325
1857418887.4142523,0.04931126325881923,0.7991230416506404,7.84623273363953e-05,90393
2594468301.998836,0.2049935813467024,0.05248191318229778,7.855182276498597e-05,23937
3014627034.902898,0.13438186438166147,0.23340145676823598,7.862415493672295e-05,96352
2905038480.714781,0.2972314636305574,0.9409457301761888,7.867149286657816e-05,84009
651026795.8157398,0.0936164797466347,0.5397162967515299,7.87084005467882e-05,62340
1100970948.5338604,0.08132115607838318,0.776809249419234,7.87839208919379e-05,16720
1202589056.6621935,0.10150738991498055,0.8370329224601377,7.878733693396736e-05,64123
1625954840.2110043,0.03271817534668941,0.5371101369540878,7.882293902299991e-05,25661
1144195674.1443841,0.07506763615023404,0.2805312293183102,7.886587292364298e-05,8588
2314725653.103324,0.0961309379536775,0.3235201020107735,7.886596454356938e-05,2087
1714479919.3542433,0.24371066495313623,0.7283286790611456,7.888668153159729e-05,39763
1270653300.7548778,0.24371465316037177,0.7738404519744814,7.891063451392758e-05,66731
1171443597.9475312,0.21519684686717624,0.9511200857041102,7.89436755816688e-05,30788
2320675135.220987,0.030560269937000444,0.4777735768071888,7.89971250943309e-05,2808
3120821600.80043,0.21837601671696213,0.03565288107240505,7.900450558458185e-05,57047
